run_tag,watermark_delay_sec,drop_late_events,ts_utc,rows,late_event_ratio,event_lateness_p95_ms,source_p95_ms,proc_p95_ms,e2e_p95_ms,precision,recall,f1,fpr,fnr,status,evaluation_source,boundary_mode,official_source_of_truth,legacy_metrics_status,metrics_comparison_status,comparison_notes
watermark_01_0s_1776001340923,0,True,2026-04-12T13:56:51+00:00,50000,0.7242,1.0,1.0,292769.0,292769.0,0.0,0.0,0.0,0.008171817705605029,1.0,ok,sut_debug_metrics,sut_metrics_only,matrix_summaries_derived_from_ids_metrics,ok,not_applicable,official summary currently derived from SUT-emitted debug metrics
watermark_02_10s_1776002211515,10,True,2026-04-12T14:11:57+00:00,50000,0.0,1.0,1.0,294671.0,294672.0,0.0,0.0,0.0,0.008171817705605029,1.0,ok,sut_debug_metrics,sut_metrics_only,matrix_summaries_derived_from_ids_metrics,ok,not_applicable,official summary currently derived from SUT-emitted debug metrics
watermark_03_30s_1776003117631,30,True,2026-04-12T14:28:35+00:00,50000,0.0,1.0,1.0,310271.0,310272.0,0.0,0.0,0.0,0.008171817705605029,1.0,ok,sut_debug_metrics,sut_metrics_only,matrix_summaries_derived_from_ids_metrics,ok,not_applicable,official summary currently derived from SUT-emitted debug metrics
